Terminal ID,Region,Terminal Name
70010000,NORTH LUZON,Lie-Ann's Agricultural Supply
70010001,NORTH LUZON,DDJJ Trading
70010002,NORTH LUZON,Beniong & Raquel's Mini Store
70010003,NORTH LUZON,Cayaon Food Products Trading
70010004,NORTH LUZON,Thanksgiving Multi-Purpose Cooperative
70010005,SOUTH LUZON,Rhudarda Multi-Purpose Cooperative - Polilio Main Office
70010006,SOUTH LUZON,Rhudarda Multi-Purpose Cooperative- Burdeos
70010007,SOUTH LUZON,"Rural Bank of San Luis (Batangas), Inc."
70010008,SOUTH LUZON,JM MINI SHOPPE
70010013,SOUTH LUZON,Rod and Nora Sari-sari Store
70010014,SOUTH LUZON,TESS J ENTERPRISE
70010015,NORTH LUZON,Vherj Satur Ticketing and Bayad Center
70010016,NORTH LUZON,Philex Mines Multi Purpose Cooperative
70010017,NORTH LUZON,Buguias Lending Corporation
70010018,NORTH LUZON,Jhezdrei's General Merchandising
70010019,SOUTH LUZON,Lopez Bills Payment and Remittance Services
70010020,SOUTH LUZON,Rowel And Mary Ann Enterprises
70010021,CENTRAL LUZON,Alejo Remittance Center
70010022,CENTRAL LUZON,Azeneth Lising Verzon General Merchandize
70010024,SOUTH LUZON,MINISORIA BILLS PAYMENT & REMITTANCE CENTER
70010025,NORTH LUZON,Lhei's Drygoods
70010027,CENTRAL LUZON,RJA FAMILY PHARMACY
70010028,CENTRAL LUZON,Alseco Remittance And Payment Center
70010029,NORTH LUZON,Triple J Sari-Sari Store
70010033,NORTH LUZON,ChleoMed Pharmacy
70010036,NORTH LUZON,Farmacia Orate
70010037,NORTH LUZON,Albino's Sari-Sari Store
70010038,NORTH LUZON,NL Macadangdang Store
70010039,NORTH LUZON,Rose Ann Demerin General Merchandise
70010040,NORTH LUZON,Cedie Sari Sari Store
70010041,NORTH LUZON,R & D General Merchandise
70010042,NORTH LUZON,Derfasiul Store
70010043,NORTH LUZON,Mayder Store
70010047,SOUTH LUZON,PRIMA'S BILLS PAYMENT & REMITTANCE CENTER
70010048,SOUTH LUZON,SINISIAN STORE
70010049,SOUTH LUZON,Auxmary89 General Merchandise
70010050,SOUTH LUZON,Ronald Bueno Sari- Sari Store
70010051,SOUTH LUZON,1World2go Travel Services
70010052,SOUTH LUZON,RAV.COM PRINTING SHOP
70010054,NORTH LUZON,Kerlene Variety Store
70010056,NORTH LUZON,RNN Bills Payment and Remittance Center
70010057,NORTH LUZON,Pua Store
70010058,SOUTH LUZON,Raquion Enterprises
70010059,CENTRAL LUZON,Oransha Sari Sari Store
70010060,CENTRAL LUZON,Mark Gil Remittance Services
70010061,CENTRAL LUZON,Boaquina Remittance Center
70010065,NORTH LUZON,Sean Quincy Sari Sari Store
70010069,NORTH LUZON,J. Asuncion Variety Shop
70010070,CENTRAL LUZON,Kia Perez Bills Payment and Remittance Center
70010071,CENTRAL LUZON,Easypay Business Center
70010072,CENTRAL LUZON,Verdadero Office Supplies Trading
70010073,CENTRAL LUZON,Kikonek Computer Shop & School Supplies
70010074,CENTRAL LUZON,Brenda's Store
70010075,CENTRAL LUZON,Whyne's Remittance Center
70010076,CENTRAL LUZON,A.Z Sigua Enterprises
70010078,SOUTH LUZON,72 Express Loading Station
70010079,SOUTH LUZON,7 4 11 ABJH Convenience Store
70010080,SOUTH LUZON,Jay N J RTW and Gift Shop
70010081,SOUTH LUZON,Razacla Bills Payment and Remittance Services
70010082,CENTRAL LUZON,JCD Yu Payment Center
70010083,CENTRAL LUZON,Mommy Love Drugstore and Medical Supplies
70010084,CENTRAL LUZON,Tiger' Bills Payment and Remittance Services
70010086,CENTRAL LUZON,DM Salenga Vehicle Parts and Accessories
70010087,CENTRAL LUZON,L. Pascual Store
70010088,CENTRAL LUZON,Vinas Remittance Center
70010089,CENTRAL LUZON,Mark Vincent Bills Payment and Remittance Center
70010092,NORTH LUZON,Ivynez Enterprise
70010100,CENTRAL LUZON,4ACExpress Bills Payment and Remittance Center
70010101,CENTRAL LUZON,Quickpaysolutions & Business Center
70010102,CENTRAL LUZON,Vip's Capiz Services Payment Center
70010103,CENTRAL LUZON,Mark Josef P. Yuzon Sari Sari Store
70010105,CENTRAL LUZON,Axel Bills Payment and Remittances
70010106,NORTH LUZON,Maynicefriday Food and Beverage Trading
70010110,NORTH LUZON,Emelie General Merchandise
70010111,NORTH LUZON,Airline Ticket and Loading Station
70010112,NORTH LUZON,Alexandra's Fashion Center
70010113,NORTH METRO MANILA,AL Raja Payment Center
70010114,SOUTH METRO MANILA,AC3 Store and Remittance Center
70010115,CENTRAL LUZON,Al-Ansari Bills Payment Services
70010117,CENTRAL LUZON,Conching Loading Station
70010118,CENTRAL LUZON,Goldenpay Bills Payment Center
70010119,SOUTH LUZON,Rej Link and Enterprise
70010120,SOUTH LUZON,Sweet Remittance Center
70010121,NORTH LUZON,MN Bills Payment and Remittance Center
70010122,NORTH LUZON,Lappay Bills Payment and Remittance Services
70010123,NORTH LUZON,SA Paracad Remittance Services
70010124,NORTH LUZON,Fronda Meat Stall
70010125,NORTH LUZON,Tapayan Food House
70010126,SOUTH LUZON,Angel and Shawn Water Refilling Station
70010127,NORTH LUZON,Saver's Drugstore and Medical Supply
70010128,SOUTH LUZON,RAMSAR ENTERPRISE
70010129,NORTH LUZON,Figueroa Store
70010130,NORTH LUZON,DL Luft Balloons
70010131,SOUTH LUZON,SILNAG SARI-SARI STORE
70010132,NORTH LUZON,"LVJF Hardware, Construction Supply and Hollowblocks"
70010133,CENTRAL LUZON,J Sta Maria E Loading Center
70010134,NORTH LUZON,JBL INTERNET CAFE AND GENERAL MERCHANDISE
70010135,NORTH LUZON,JAM Sari-sari Store
70010136,NORTH LUZON,NBC Pharmacy and General Merchandise
70010137,NORTH LUZON,Bessayot Gasoline Station
70010138,SOUTH LUZON,R. Destura Store
70010139,SOUTH LUZON,PEDEZ PHARMACY
70010140,CENTRAL LUZON,Tingtano Enterprises
70010141,CENTRAL LUZON,MS Variety Store
70010143,NORTH LUZON,Tattus Travel and Tours
70010144,NORTH LUZON,Bhak-Jho RTW Shop
70010145,NORTH LUZON,Asto Store
70010146,NORTH LUZON,CML Water Refilling Station
70010147,NORTH METRO MANILA,Orcilla Payment Center
70010148,CENTRAL LUZON,Santaio Bakeshop and Cafe
70010149,NORTH METRO MANILA,Madimae's Sari-Sari Store
70010150,NORTH LUZON,RBM Payment Center
70010151,NORTH LUZON,Tiri Motor Parts
70010152,CENTRAL LUZON,Tarriela Payment Center
70010153,SOUTH LUZON,BELLA FASHION BOUTIQUE
70010154,SOUTH LUZON,Juan Stop Payment Center
70010155,NORTH METRO MANILA,VRP Gen Merchandise
70010156,NORTH METRO MANILA,ANNE SARI SARI STORE
70010157,CENTRAL LUZON,Melanie's Store
70010158,CENTRAL LUZON,JAV Trading
70010159,NORTH LUZON,JIMS Bills Payment and Remittance Center
70010160,NORTH LUZON,DJ Baccay Sari Sari Store
70010161,NORTH LUZON,C. Baccay Motorcycle and Accesories Shop
70010162,CENTRAL LUZON,EM'S Junction Sari Sari Store
70010163,NORTH LUZON,Cadlaon Store
70010164,NORTH LUZON,Hebrews II Verse I MilkteaShop
70010165,NORTH METRO MANILA,PETER PAN RICE TRADING
70010166,SOUTH LUZON,Seancom General Merchandise
70010167,NORTH LUZON,REDPINK GENERAL MERCHANDISE
70010168,NORTH LUZON,LEANN ONLINE SHOP
70010169,SOUTH LUZON,Dang Andrade Pera Padala
70010170,NORTH LUZON,E & D Remittance Center
70010171,CENTRAL LUZON,Ameiah Bayad Loading and Variety Store
70010172,CENTRAL LUZON,Wilpay Remittance Center
70010173,NORTH LUZON,Leonida Sabio Store
70010174,CENTRAL LUZON,GLRRW Grocery
70010176,NORTH METRO MANILA,LG Bills Payment and Remittance Center
70010177,NORTH METRO MANILA,ALBERT AND ELA REMITTANCE CENTER
70010178,NORTH LUZON,Michell Ramos Sari Sari Store
70010179,NORTH LUZON,Bing's Store
70010180,NORTH LUZON,Jugei's Minimart
70010181,SOUTH LUZON,Zeus Office and School Supplies
70010182,SOUTH LUZON,Bits N Bytes Computer Cafe
70010183,CENTRAL LUZON,Yel Store
70010184,CENTRAL LUZON,JDL-RX DRUGMART
70010185,CENTRAL LUZON,KASHMEYA PARCEL HANDLING SERVICES
70010186,NORTH LUZON,Minimee Sari Sari Store
70010187,CENTRAL LUZON,JPC Express and General Merchandise
70010188,CENTRAL LUZON,Lee Bills Payment and Remittance Services
70010189,CENTRAL LUZON,R and D Store
70010190,CENTRAL LUZON,R219 Variety Store
70010191,CENTRAL LUZON,Caberto Beverage Trading
70011000,VISAYAS,Jonalyn Catampongan Grocery Store
70011001,VISAYAS,Rosete Payment Center/ Rosete Bills Payment and Remittance Center
70011003,VISAYAS,MY SOUVENIRS
70011004,VISAYAS,FK3 COSMETIC SELLER
70011005,VISAYAS,Jason Permejo Bills Payment and Remittance Center
70011006,VISAYAS,D Cha Milk Tea Shop
70011007,VISAYAS,MS07 Information Technology Solution
70011008,VISAYAS,Maridel Sari Sari Store
70011009,VISAYAS,Jesvit Express Remittance Center
70011010,VISAYAS,Dao Sari Sari Store
70011011,VISAYAS,Magie Convenience Store
70011012,VISAYAS,TABITHA TECHNOLOGICAL & SKILLS INSTITUTE INC
70011013,VISAYAS,DEVORA BILLS PAYMENT AND REMITTANCE SERVICES
70011014,VISAYAS,LKCT REMITTANCE CENTER
70011015,VISAYAS,M. Convenience Store
70011016,VISAYAS,Rzhan Business Center
70011017,VISAYAS,Elli lotto ticket Money transfer bills payment remittance center
70011018,VISAYAS,MYLABS VARIETY STORE
70011019,VISAYAS,Republic Pawnshops Corporation (HL-SANTANDER)
70011020,VISAYAS,Republic Pawnshops Corporation (HL- BADIAN)
70011021,VISAYAS,Republic Pawnshops Corporation (HL- GINATILAN)
70011022,VISAYAS,Republic Pawnshops Corporation (HL- STA. FE)
70011023,VISAYAS,Republic Pawnshops Corporation (HL- DAANBANTAYAN)
70011024,VISAYAS,Republic Pawnshops Corporation (HL- HAGNAYA)
70011025,VISAYAS,Republic Pawnshops Corporation (HL- CATMON)
70011026,VISAYAS,Republic Pawnshops Corporation (HL- MOALBOAL)
70011027,VISAYAS,Republic Pawnshops Corporation (HL- DUMANJUG)
70011028,VISAYAS,Republic Pawnshops Corporation (HL- TOLEDO 1)
70011029,VISAYAS,Republic Pawnshops Corporation (HL- DANAO 2)
70011030,VISAYAS,Republic Pawnshops Corporation (HL- ARGAO)
70011031,VISAYAS,JP & M MINMART
70011032,VISAYAS,Mama's Sari Sari Store
70011033,VISAYAS,LILIBETH MARKETING SERVICES
70011034,VISAYAS,ZYKEILA BEAUTY & WELNESS
70011035,VISAYAS,Glady's Sari Sari Store
70011036,VISAYAS,Jho- Nil's Business Center
70011037,VISAYAS,JP Variety Store
70011038,VISAYAS,Tita Corz Variety Store
70011039,VISAYAS,BPK Business Center
70011040,VISAYAS,Lyennes Online Shop
70011041,VISAYAS,Shecel Water Refilling Station
70011042,VISAYAS,Money Changing Services Nomzmat Remittance Padara Mo Karawat Ko
70011043,VISAYAS,KB Sari-Sari Store
70011044,VISAYAS,Renie Sari Sari Store
70012000,MINDANAO,Almario Ticketing Office
70012002,MINDANAO,Minong Store
70012003,MINDANAO,Igsoc Sari-Sari Store
70012004,MINDANAO,Joevel Multi-Trading
70012005,MINDANAO,J&C Manganaan Minimart
70012006,MINDANAO,Cornerwise Store
70012007,MINDANAO,RJ and A Healthcare Dist. Mktg.
70012008,MINDANAO,HGM Interface Computer Services
70012009,MINDANAO,LA Commercial and Enterprise
70012010,MINDANAO,DB CARES RICE MILL
70012011,MINDANAO,Everest Gas Station
70012012,MINDANAO,ELAH-CHIM SARI SARI STORE
70012013,MINDANAO,SAMERAH SARI-SARI STORE
70012014,MINDANAO,A.N.D Hardware & Construction Supplies
70012015,MINDANAO,GQ Con Bills Payment and Remittance Services
70012016,MINDANAO,Bingflor Cart Non-specialized Wholesale Trading
70012017,MINDANAO,Jennie Daniel Travel and Tours
70012018,MINDANAO,Dragon Ticketing Outlet and Eloading Station
70012019,MINDANAO,Baliwag Sari Sari Store
70012020,MINDANAO,Agrivet Store
70012021,MINDANAO,Sean's Water Refilling Station
70012022,MINDANAO,Alen Sari- Sari Store
70012023,MINDANAO,Cellsayt Electronics and Telecommunications Parts and Equipment Retailing
70012024,MINDANAO,Hannah's Travel and Tours
70012025,MINDANAO,Misham's Payment Services
70012026,MINDANAO,A-N Hardware
70012027,MINDANAO,Saviors Lamb Academy
70012028,MINDANAO,Tobey-Treats Food Hub
70012029,MINDANAO,Ma. Keziah Marketing
70012030,MINDANAO,RG Englisa Loading Station
70012031,MINDANAO,Yams 27 Gasoline Station
70012032,MINDANAO,E.S. Money Transfer Remittance Services
70012033,MINDANAO,Godinez Hardware
70012034,MINDANAO,SHABEL ADIL SARI SARI STORE